dataset,column,value
dim_customers_dataset,customer_number,AW00011000
dim_customers_dataset,customer_number,AW00011001
dim_customers_dataset,customer_number,AW00011002
dim_customers_dataset,customer_number,AW00011003
dim_customers_dataset,customer_number,AW00011004
dim_customers_dataset,customer_number,AW00011005
dim_customers_dataset,customer_number,AW00011006
dim_customers_dataset,customer_number,AW00011007
dim_customers_dataset,customer_number,AW00011008
dim_customers_dataset,customer_number,AW00011009
dim_customers_dataset,customer_number,AW00011010
dim_customers_dataset,customer_number,AW00011011
dim_customers_dataset,customer_number,AW00011012
dim_customers_dataset,customer_number,AW00011013
dim_customers_dataset,customer_number,AW00011014
dim_customers_dataset,customer_number,AW00011015
dim_customers_dataset,customer_number,AW00011016
dim_customers_dataset,customer_number,AW00011017
dim_customers_dataset,customer_number,AW00011018
dim_customers_dataset,customer_number,AW00011019
dim_customers_dataset,customer_number,AW00011020
dim_customers_dataset,customer_number,AW00011021
dim_customers_dataset,customer_number,AW00011022
dim_customers_dataset,customer_number,AW00011023
dim_customers_dataset,customer_number,AW00011024
dim_customers_dataset,customer_number,AW00011025
dim_customers_dataset,customer_number,AW00011026
dim_customers_dataset,customer_number,AW00011027
dim_customers_dataset,customer_number,AW00011028
dim_customers_dataset,customer_number,AW00011029
dim_customers_dataset,customer_number,AW00011030
dim_customers_dataset,customer_number,AW00011031
dim_customers_dataset,customer_number,AW00011032
dim_customers_dataset,customer_number,AW00011033
dim_customers_dataset,customer_number,AW00011034
dim_customers_dataset,customer_number,AW00011035
dim_customers_dataset,customer_number,AW00011036
dim_customers_dataset,customer_number,AW00011037
dim_customers_dataset,customer_number,AW00011038
dim_customers_dataset,customer_number,AW00011039
dim_customers_dataset,customer_number,AW00011040
dim_customers_dataset,customer_number,AW00011041
dim_customers_dataset,customer_number,AW00011042
dim_customers_dataset,customer_number,AW00011043
dim_customers_dataset,customer_number,AW00011044
dim_customers_dataset,customer_number,AW00011045
dim_customers_dataset,customer_number,AW00011046
dim_customers_dataset,customer_number,AW00011047
dim_customers_dataset,customer_number,AW00011048
dim_customers_dataset,customer_number,AW00011049
dim_customers_dataset,customer_number,AW00011050
dim_customers_dataset,customer_number,AW00011051
dim_customers_dataset,customer_number,AW00011052
dim_customers_dataset,customer_number,AW00011053
dim_customers_dataset,customer_number,AW00011054
dim_customers_dataset,customer_number,AW00011055
dim_customers_dataset,customer_number,AW00011056
dim_customers_dataset,customer_number,AW00011057
dim_customers_dataset,customer_number,AW00011058
dim_customers_dataset,customer_number,AW00011059
dim_customers_dataset,customer_number,AW00011060
dim_customers_dataset,customer_number,AW00011061
dim_customers_dataset,customer_number,AW00011062
dim_customers_dataset,customer_number,AW00011063
dim_customers_dataset,customer_number,AW00011064
dim_customers_dataset,customer_number,AW00011065
dim_customers_dataset,customer_number,AW00011066
dim_customers_dataset,customer_number,AW00011067
dim_customers_dataset,customer_number,AW00011068
dim_customers_dataset,customer_number,AW00011069
dim_customers_dataset,customer_number,AW00011070
dim_customers_dataset,customer_number,AW00011071
dim_customers_dataset,customer_number,AW00011072
dim_customers_dataset,customer_number,AW00011073
dim_customers_dataset,customer_number,AW00011074
dim_customers_dataset,customer_number,AW00011075
