customer_key,customer_id,customer_number,first_name,last_name,country,marital_status,gender,birthdate,create_date
242.0,11241.0,AW00011241,Lisa,Cai,France,Single,Female,1974-04-06,2025-10-08
243.0,11242.0,AW00011242,Larry,Munoz,France,Married,Male,1963-05-11,2025-10-08
249.0,11248.0,AW00011248,Tristan,Alexander,France,Married,Male,1966-03-22,2025-10-08
337.0,11336.0,AW00011336,Shaun,Raji,France,Married,Male,1973-03-08,2025-10-08
340.0,11339.0,AW00011339,Dennis,She,France,Single,Male,1967-01-05,2025-10-08
341.0,11340.0,AW00011340,Melody,Munoz,France,Married,Female,1947-04-03,2025-10-08
343.0,11342.0,AW00011342,Marshall,Wang,France,Married,Male,1973-03-07,2025-10-08
346.0,11345.0,AW00011345,Robin,Ramos,France,Single,Female,1962-09-09,2025-10-08
347.0,11346.0,AW00011346,Deanna,Gutierrez,France,Single,Female,1966-05-18,2025-10-08
353.0,11352.0,AW00011352,Raymond,Rodriguez,France,Married,Male,1945-09-04,2025-10-08
379.0,11378.0,AW00011378,Shannon,Liang,France,Single,Female,1965-11-19,2025-10-08
380.0,11379.0,AW00011379,Gary,Vazquez,France,Married,Male,1976-05-13,2025-10-08
383.0,11382.0,AW00011382,Edward,Patterson,France,Married,Male,1974-07-15,2025-10-08
384.0,11383.0,AW00011383,Marie,Gill,France,Married,Female,1966-02-25,2025-10-08
385.0,11384.0,AW00011384,Tiffany,Wang,France,Married,Female,1971-10-13,2025-10-08
391.0,11390.0,AW00011390,Christine,Raji,France,Single,Female,1976-04-17,2025-10-08
394.0,11393.0,AW00011393,Kurt,Pal,France,Single,Male,1974-07-17,2025-10-08
398.0,11397.0,AW00011397,Latoya,Shan,France,Single,Female,1974-12-02,2025-10-08
400.0,11399.0,AW00011399,Brenda,Mehta,France,Single,Female,1975-02-01,2025-10-08
402.0,11401.0,AW00011401,Linda,Navarro,France,Married,Female,1975-02-23,2025-10-08
403.0,11402.0,AW00011402,Kelli,Cai,France,Married,Female,1975-05-20,2025-10-08
404.0,11403.0,AW00011403,Nancy,Schmidt,France,Single,Female,1980-01-06,2025-10-08
407.0,11406.0,AW00011406,Latoya,Xu,France,Married,Female,1957-12-31,2025-10-08
410.0,11409.0,AW00011409,Jacqueline,Hayes,France,Single,Female,1979-03-02,2025-10-08
411.0,11410.0,AW00011410,Maurice,Goel,France,Married,Male,1971-07-13,2025-10-08
417.0,11416.0,AW00011416,Katrina,Becker,France,Married,Female,1950-09-16,2025-10-08
418.0,11417.0,AW00011417,Lacey,Zheng,France,Married,Female,1950-08-26,2025-10-08
421.0,11420.0,AW00011420,Jordan,Turner,France,Married,Male,1952-01-09,2025-10-08
426.0,11425.0,AW00011425,Ariana,Gray,France,Married,Female,1965-08-02,2025-10-08
430.0,11429.0,AW00011429,Marco,Lopez,France,Married,Male,1958-01-13,2025-10-08
433.0,11432.0,AW00011432,Dominique,Prasad,France,Married,Female,1957-03-10,2025-10-08
434.0,11433.0,AW00011433,Maurice,Shan,France,Married,Male,1957-03-01,2025-10-08
438.0,11437.0,AW00011437,Alfredo,Moreno,France,Married,Male,1955-06-16,2025-10-08
440.0,11439.0,AW00011439,Janet,Munoz,France,Married,Female,1953-11-14,2025-10-08
441.0,11440.0,AW00011440,Sergio,Weber,France,Married,Male,1953-03-26,2025-10-08
442.0,11441.0,AW00011441,Erika,Gomez,France,Married,Female,1952-12-09,2025-10-08
443.0,11442.0,AW00011442,Joseph,Harris,France,Married,Male,1953-05-13,2025-10-08
472.0,11471.0,AW00011471,Latasha,Suarez,France,Single,Female,1979-03-25,2025-10-08
474.0,11473.0,AW00011473,Grace,Henderson,France,Single,Female,1986-01-30,2025-10-08
479.0,11478.0,AW00011478,Billy,Hernandez,France,Single,Male,1984-02-22,2025-10-08
480.0,11479.0,AW00011479,Darryl,Wu,France,Married,Male,1978-10-20,2025-10-08
481.0,11480.0,AW00011480,Colleen,Ma,France,Married,Female,1984-03-07,2025-10-08
484.0,11483.0,AW00011483,Calvin,Chande,France,Married,Male,1983-05-19,2025-10-08
488.0,11487.0,AW00011487,Morgan,Jones,France,Single,Female,1977-01-05,2025-10-08
491.0,11490.0,AW00011490,Danny,Rubio,France,Single,Male,1976-07-05,2025-10-08
544.0,11543.0,AW00011543,Sheena,Chande,France,Married,Female,1973-08-16,2025-10-08
546.0,11545.0,AW00011545,Reginald,Dominguez,France,Married,Male,1973-09-22,2025-10-08
547.0,11546.0,AW00011546,Christine,Chande,France,Married,Female,1973-09-11,2025-10-08
548.0,11547.0,AW00011547,Cindy,Sai,France,Married,Female,1979-03-05,2025-10-08
552.0,11551.0,AW00011551,Shannon,Alvarez,France,Single,Male,1971-07-13,2025-10-08
555.0,11554.0,AW00011554,Sydney,Simmons,France,Single,Female,1932-03-27,2025-10-08
567.0,11566.0,AW00011566,April,Shan,France,Married,Female,1973-03-01,2025-10-08
572.0,11571.0,AW00011571,Joel,Sai,France,Married,Male,1971-11-15,2025-10-08
573.0,11572.0,AW00011572,Billy,Moreno,France,Married,Male,1977-03-11,2025-10-08
577.0,11576.0,AW00011576,Micah,Zhu,France,Married,Male,1970-08-10,2025-10-08
578.0,11577.0,AW00011577,Janet,Serrano,France,Married,Female,1971-04-21,2025-10-08
579.0,11578.0,AW00011578,Trisha,Huang,France,Single,Female,1970-05-08,2025-10-08
582.0,11581.0,AW00011581,Cindy,Jordan,France,Married,Female,1971-07-13,2025-10-08
583.0,11582.0,AW00011582,Claudia,Ma,France,Single,Female,1974-04-09,2025-10-08
584.0,11583.0,AW00011583,Karla,Xu,France,Single,Female,1971-03-26,2025-10-08
588.0,11587.0,AW00011587,Kevin,Bryant,France,Single,Male,1975-10-18,2025-10-08
589.0,11588.0,AW00011588,Candace,Mehta,France,Married,Female,1970-01-11,2025-10-08
591.0,11590.0,AW00011590,Erika,Diaz,France,Single,Female,1980-04-12,2025-10-08
592.0,11591.0,AW00011591,Stacey,Lu,France,Single,Female,1968-11-12,2025-10-08
593.0,11592.0,AW00011592,Darrell,Raji,France,Single,Male,1984-03-03,2025-10-08
594.0,11593.0,AW00011593,Armando,Moreno,France,Single,Male,1982-09-22,2025-10-08
595.0,11594.0,AW00011594,Corey,Goel,France,Single,Male,1985-05-03,2025-10-08
598.0,11597.0,AW00011597,Janelle,Chandra,France,Single,Female,1983-08-06,2025-10-08
600.0,11599.0,AW00011599,Melody,Diaz,France,Single,Female,1983-03-16,2025-10-08
601.0,11600.0,AW00011600,Linda,Rubio,France,Single,Female,1982-10-05,2025-10-08
602.0,11601.0,AW00011601,Ivan,Raman,France,Single,Male,1983-02-18,2025-10-08
607.0,11606.0,AW00011606,Melody,Ramos,France,Single,Female,1986-01-30,2025-10-08
608.0,11607.0,AW00011607,Clinton,Moreno,France,Single,Male,1986-05-05,2025-10-08
609.0,11608.0,AW00011608,Cesar,Madan,France,Single,Male,1981-09-01,2025-10-08
612.0,11611.0,AW00011611,Ernest,Lin,France,Married,Male,1985-02-23,2025-10-08
1125.0,12124.0,AW00012124,Brandi,Gill,France,Single,Female,1962-08-08,2025-10-08
1128.0,12127.0,AW00012127,Grace,Davis,France,Married,Female,1962-06-13,2025-10-08
1132.0,12131.0,AW00012131,Randall,Dominguez,France,Married,Male,1961-04-15,2025-10-08
1133.0,12132.0,AW00012132,Kaitlyn,Henderson,France,Married,Female,1961-05-18,2025-10-08
1212.0,12211.0,AW00012211,Victor,Romero,France,Married,Male,1985-02-23,2025-10-08
1213.0,12212.0,AW00012212,Shawna,Xie,France,Married,Female,1974-11-16,2025-10-08
1218.0,12217.0,AW00012217,Kyle,Roberts,France,Married,Male,1966-12-31,2025-10-08
1220.0,12219.0,AW00012219,Kurt,Nara,France,Married,Male,1977-10-08,2025-10-08
1221.0,12220.0,AW00012220,Virginia,Sara,France,Married,Female,1966-07-16,2025-10-08
1222.0,12221.0,AW00012221,Brandi,Ruiz,France,Married,Female,1966-07-09,2025-10-08
1235.0,12234.0,AW00012234,Clarence,Zeng,France,Married,Male,1959-08-25,2025-10-08
1255.0,12254.0,AW00012254,Calvin,Deng,France,Single,Male,1948-08-25,2025-10-08
1256.0,12255.0,AW00012255,Robyn,Alvarez,France,Single,Female,1978-01-30,2025-10-08
1257.0,12256.0,AW00012256,Wendy,Ramos,France,Married,Female,1972-10-19,2025-10-08
