customer_key,customer_id,customer_number,first_name,last_name,country,marital_status,gender,birthdate,create_date
1.0,11000.0,AW00011000,Jon,Yang,Australia,Married,Male,1971-10-06,2025-10-06
2.0,11001.0,AW00011001,Eugene,Huang,Australia,Single,Male,1976-05-10,2025-10-06
3.0,11002.0,AW00011002,Ruben,Torres,Australia,Married,Male,1971-02-09,2025-10-06
4.0,11003.0,AW00011003,Christy,Zhu,Australia,Single,Female,1973-08-14,2025-10-06
5.0,11004.0,AW00011004,Elizabeth,Johnson,Australia,Single,Female,1979-08-05,2025-10-06
6.0,11005.0,AW00011005,Julio,Ruiz,Australia,Single,Male,1976-08-01,2025-10-06
7.0,11006.0,AW00011006,Janet,Alvarez,Australia,Single,Female,1976-12-02,2025-10-06
8.0,11007.0,AW00011007,Marco,Mehta,Australia,Married,Male,1969-11-06,2025-10-06
9.0,11008.0,AW00011008,Rob,Verhoff,Australia,Single,Female,1975-07-04,2025-10-06
10.0,11009.0,AW00011009,Shannon,Carlson,Australia,Single,Male,1969-09-29,2025-10-06
11.0,11010.0,AW00011010,Jacquelyn,Suarez,Australia,Single,Female,1969-08-05,2025-10-06
12.0,11011.0,AW00011011,Curtis,Lu,Australia,Married,Male,1969-05-03,2025-10-06
13.0,11012.0,AW00011012,Lauren,Walker,United States,Married,Female,1979-01-14,2025-10-06
14.0,11013.0,AW00011013,Ian,Jenkins,United States,Married,Male,1979-08-03,2025-10-06
15.0,11014.0,AW00011014,Sydney,Bennett,United States,Single,Female,1973-11-06,2025-10-06
16.0,11015.0,AW00011015,Chloe,Young,United States,Single,Female,1984-08-26,2025-10-06
17.0,11016.0,AW00011016,Wyatt,Hill,United States,Married,Male,1984-10-25,2025-10-07
18.0,11017.0,AW00011017,Shannon,Wang,Australia,Single,Female,1949-12-24,2025-10-07
19.0,11018.0,AW00011018,Clarence,Rai,Australia,Single,Male,1955-10-06,2025-10-07
20.0,11019.0,AW00011019,Luke,Lal,Canada,Single,Male,1983-09-04,2025-10-07
21.0,11020.0,AW00011020,Jordan,King,Canada,Single,Male,1984-03-19,2025-10-07
22.0,11021.0,AW00011021,Destiny,Wilson,United States,Single,Female,1984-03-02,2025-10-07
23.0,11022.0,AW00011022,Ethan,Zhang,United States,Married,Male,1984-04-10,2025-10-07
24.0,11023.0,AW00011023,Seth,Edwards,United States,Married,Male,1984-04-09,2025-10-07
25.0,11024.0,AW00011024,Russell,Xie,United States,Married,Male,1984-03-16,2025-10-07
26.0,11025.0,AW00011025,Alejandro,Beck,Australia,Married,Male,1951-06-22,2025-10-07
27.0,11026.0,AW00011026,Harold,Sai,Australia,Single,Male,1951-10-01,2025-10-07
28.0,11027.0,AW00011027,Jessie,Zhao,Australia,Married,Male,1952-06-05,2025-10-07
29.0,11028.0,AW00011028,Jill,Jimenez,Australia,Married,Female,1951-10-09,2025-10-07
30.0,11029.0,AW00011029,Jimmy,Moreno,Australia,Married,Male,1952-06-19,2025-10-07
31.0,11030.0,AW00011030,Bethany,Yuan,Australia,Married,Female,1958-02-18,2025-10-07
32.0,11031.0,AW00011031,Theresa,Ramos,Australia,Married,Female,1953-02-18,2025-10-07
33.0,11032.0,AW00011032,Denise,Stone,Australia,Married,Female,1952-12-08,2025-10-07
34.0,11033.0,AW00011033,Jaime,Nath,Australia,Married,Male,1958-09-19,2025-10-07
35.0,11034.0,AW00011034,Ebony,Gonzalez,Australia,Married,Female,1952-12-16,2025-10-07
36.0,11035.0,AW00011035,Wendy,Dominguez,Australia,Married,Female,1953-08-23,2025-10-07
37.0,11036.0,AW00011036,Jennifer,Russell,United States,Married,Female,1984-06-16,2025-10-07
