country,order_value_EUR,cost,date,category,customer_name,sales_manager,sales_rep,device_type,order_id,refund
France,46296.26,40319.41,2020-05-15,Games,Wisoky Inc,Othello Bowes,Amelina Piscopiello,Tablet,77-3489084,13385.0
France,203604.46,175344.16,2019-06-26,Electronics,Kirlin and Sons,Othello Bowes,Crysta Halls,Mobile,29-5478106,90064.0
France,96795.99,81395.75,2019-06-21,Appliances,Connelly-Mohr,Othello Bowes,Avrit Chanders,PC,32-3124563,43101.0
France,65193.88,53113.45,2019-04-10,Beauty,Friesen and Sons,Othello Bowes,Maighdiln Upcraft,PC,74-1131921,24939.0
France,54079.04,45031.62,2020-05-29,Games,"Lueilwitz, Kerluke and Lesch",Othello Bowes,Avrit Chanders,PC,15-6838362,17397.0
France,89160.66,75367.51,2019-11-18,Beauty,Wiza and Sons,Othello Bowes,Crysta Halls,PC,27-4115444,39735.0
France,173456.4,149866.33,2019-09-25,Books,Johns and Sons,Othello Bowes,Avrit Chanders,Mobile,00-1398218,85237.0
France,60068.71,47688.55,2020-09-05,Other,Friesen-Rath,Othello Bowes,Crysta Halls,PC,99-0862667,22722.0
France,128221.13,102217.88,2020-06-21,Clothing,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,21-4033151,63755.0
France,149500.61,125401.11,2020-07-24,Games,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,PC,60-8646184,72796.0
France,127946.33,111850.68,2019-09-09,Beauty,"Hamill, Kulas and Roob",Othello Bowes,Crysta Halls,PC,32-3418936,62486.0
France,60592.4,52363.95,2019-02-22,Accessories,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,PC,04-7976277,22842.0
France,117538.82,100719.02,2019-03-07,Beauty,Wisoky Inc,Othello Bowes,Avrit Chanders,PC,12-1257338,55284.0
France,56811.14,48221.3,2019-07-10,Clothing,"Schowalter, Lesch and Beahan",Othello Bowes,Ora Grennan,PC,03-9337803,19127.0
France,56118.05,47711.57,2020-02-03,Beauty,Altenwerth-Konopelski,Othello Bowes,Amelina Piscopiello,PC,08-0446109,18621.0
France,310539.0,248275.93,2020-11-12,Electronics,Johns and Sons,Othello Bowes,Ora Grennan,PC,57-2495984,98836.0
France,50585.98,40999.94,2020-08-29,Beauty,"Bashirian, Okuneva and Bechtelar",Othello Bowes,Maighdiln Upcraft,Tablet,32-1940437,15255.0
France,184221.2,150324.5,2019-06-15,Electronics,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,70-3373325,88783.0
France,122139.94,103684.6,2019-02-11,Smartphones,Smith Group,Othello Bowes,Ora Grennan,PC,07-3222085,58533.0
France,52805.94,43791.97,2020-06-22,Smartphones,Kihn Inc,Othello Bowes,Amelina Piscopiello,PC,81-2373308,16407.0
