column,value
customer_key,1.0
customer_key,2.0
customer_key,3.0
customer_key,4.0
customer_key,5.0
customer_key,6.0
customer_key,7.0
customer_key,8.0
customer_key,9.0
customer_key,10.0
customer_key,11.0
customer_key,12.0
customer_key,13.0
customer_key,14.0
customer_key,15.0
customer_key,16.0
customer_key,17.0
customer_key,18.0
customer_key,19.0
customer_key,20.0
customer_key,21.0
customer_key,22.0
customer_key,23.0
customer_key,24.0
customer_key,25.0
customer_key,26.0
customer_key,27.0
customer_key,28.0
customer_key,29.0
customer_key,30.0
customer_key,31.0
customer_key,32.0
customer_key,33.0
customer_key,34.0
customer_key,35.0
customer_key,36.0
customer_key,37.0
customer_key,38.0
customer_key,39.0
customer_key,40.0
customer_key,41.0
customer_key,42.0
customer_key,43.0
customer_key,44.0
customer_key,45.0
customer_key,46.0
customer_key,47.0
customer_key,48.0
customer_key,49.0
customer_key,50.0
customer_key,51.0
customer_key,52.0
customer_key,53.0
customer_key,54.0
customer_key,55.0
customer_key,56.0
customer_key,57.0
customer_key,58.0
customer_key,59.0
customer_key,60.0
customer_key,61.0
customer_key,62.0
customer_key,63.0
customer_key,64.0
customer_key,65.0
customer_key,66.0
customer_key,67.0
customer_key,68.0
customer_key,69.0
customer_key,70.0
customer_key,71.0
customer_key,72.0
customer_key,73.0
customer_key,74.0
customer_key,75.0
customer_key,76.0
customer_key,77.0
customer_key,78.0
customer_key,79.0
customer_key,80.0
customer_key,81.0
customer_key,82.0
customer_key,83.0
customer_key,84.0
customer_key,85.0
customer_key,86.0
customer_key,87.0
customer_key,88.0
customer_key,89.0
customer_key,90.0
customer_key,91.0
customer_key,92.0
customer_key,93.0
customer_key,94.0
customer_key,95.0
customer_key,96.0
customer_key,97.0
customer_key,98.0
customer_key,99.0
customer_key,100.0
customer_key,101.0
customer_key,102.0
customer_key,103.0
customer_key,104.0
customer_key,105.0
customer_key,106.0
customer_key,107.0
customer_key,108.0
customer_key,109.0
customer_key,110.0
customer_key,111.0
customer_key,112.0
customer_key,113.0
customer_key,114.0
customer_key,115.0
customer_key,116.0
customer_key,117.0
customer_key,118.0
customer_key,119.0
customer_key,120.0
customer_key,121.0
customer_key,122.0
customer_key,123.0
customer_key,124.0
customer_key,125.0
customer_key,126.0
customer_key,127.0
customer_key,128.0
customer_key,129.0
customer_key,130.0
customer_key,131.0
customer_key,132.0
customer_key,133.0
customer_key,134.0
customer_key,135.0
customer_key,136.0
customer_key,137.0
customer_key,138.0
customer_key,139.0
customer_key,140.0
customer_key,141.0
customer_key,142.0
customer_key,143.0
customer_key,144.0
customer_key,145.0
customer_key,146.0
customer_key,147.0
customer_key,148.0
customer_key,149.0
customer_key,150.0
customer_key,151.0
customer_key,152.0
customer_key,153.0
customer_key,154.0
customer_key,155.0
customer_key,156.0
customer_key,157.0
customer_key,158.0
customer_key,159.0
customer_key,160.0
customer_key,161.0
customer_key,162.0
customer_key,163.0
customer_key,164.0
customer_key,165.0
customer_key,166.0
customer_key,167.0
customer_key,168.0
customer_key,169.0
customer_key,170.0
customer_key,171.0
customer_key,172.0
customer_key,173.0
customer_key,174.0
customer_key,175.0
customer_key,176.0
customer_key,177.0
customer_key,178.0
customer_key,179.0
customer_key,180.0
customer_key,181.0
customer_key,182.0
customer_key,183.0
customer_key,184.0
customer_key,185.0
customer_key,186.0
customer_key,187.0
customer_key,188.0
customer_key,189.0
customer_key,190.0
customer_key,191.0
customer_key,192.0
customer_key,193.0
customer_key,194.0
customer_key,195.0
customer_key,196.0
customer_key,197.0
customer_key,198.0
customer_key,199.0
customer_key,200.0
customer_key,201.0
customer_key,202.0
customer_key,203.0
customer_key,204.0
customer_key,205.0
customer_key,206.0
customer_key,207.0
customer_key,208.0
customer_key,209.0
customer_key,210.0
customer_key,211.0
customer_key,212.0
customer_key,213.0
customer_key,214.0
customer_key,215.0
customer_key,216.0
customer_key,217.0
customer_key,218.0
customer_key,219.0
customer_key,220.0
customer_key,221.0
customer_key,222.0
customer_key,223.0
customer_key,224.0
customer_key,225.0
customer_key,226.0
customer_key,227.0
customer_key,228.0
customer_key,229.0
customer_key,230.0
customer_key,231.0
customer_key,232.0
customer_key,233.0
customer_key,234.0
customer_key,235.0
customer_key,236.0
customer_key,237.0
customer_key,238.0
customer_key,239.0
customer_key,240.0
customer_key,241.0
customer_key,242.0
customer_key,243.0
customer_key,244.0
customer_key,245.0
customer_key,246.0
customer_key,247.0
customer_key,248.0
customer_key,249.0
customer_key,250.0
customer_key,251.0
customer_key,252.0
customer_key,253.0
customer_key,254.0
customer_key,255.0
customer_key,256.0
customer_key,257.0
customer_key,258.0
customer_key,259.0
customer_key,260.0
customer_key,261.0
customer_key,262.0
customer_key,263.0
customer_key,264.0
customer_key,265.0
customer_key,266.0
customer_key,267.0
customer_key,268.0
customer_key,269.0
customer_key,270.0
customer_key,271.0
customer_key,272.0
customer_key,273.0
customer_key,274.0
customer_key,275.0
customer_key,276.0
customer_key,277.0
customer_key,278.0
customer_key,279.0
customer_key,280.0
customer_key,281.0
customer_key,282.0
customer_key,283.0
customer_key,284.0
customer_key,285.0
customer_key,286.0
customer_key,287.0
customer_key,288.0
customer_key,289.0
customer_key,290.0
customer_key,291.0
customer_key,292.0
customer_key,293.0
customer_key,294.0
customer_key,295.0
customer_key,296.0
customer_key,297.0
customer_key,298.0
customer_key,299.0
customer_key,300.0
customer_key,301.0
customer_key,302.0
customer_key,303.0
customer_key,304.0
customer_key,305.0
customer_key,306.0
customer_key,307.0
customer_key,308.0
customer_key,309.0
customer_key,310.0
customer_key,311.0
customer_key,312.0
customer_key,313.0
customer_key,314.0
customer_key,315.0
customer_key,316.0
customer_key,317.0
customer_key,318.0
customer_key,319.0
customer_key,320.0
customer_key,321.0
customer_key,322.0
customer_key,323.0
customer_key,324.0
customer_key,325.0
customer_key,326.0
customer_key,327.0
customer_key,328.0
customer_key,329.0
customer_key,330.0
customer_key,331.0
customer_key,332.0
customer_key,333.0
customer_key,334.0
customer_key,335.0
customer_key,336.0
customer_key,337.0
customer_key,338.0
customer_key,339.0
customer_key,340.0
customer_key,341.0
customer_key,342.0
customer_key,343.0
customer_key,344.0
customer_key,345.0
customer_key,346.0
customer_key,347.0
customer_key,348.0
customer_key,349.0
customer_key,350.0
customer_key,351.0
customer_key,352.0
customer_key,353.0
customer_key,354.0
customer_key,355.0
customer_key,356.0
customer_key,357.0
customer_key,358.0
customer_key,359.0
customer_key,360.0
customer_key,361.0
customer_key,362.0
customer_key,363.0
customer_key,364.0
customer_key,365.0
customer_key,366.0
customer_key,367.0
customer_key,368.0
customer_key,369.0
customer_key,370.0
customer_key,371.0
customer_key,372.0
customer_key,373.0
customer_key,374.0
customer_key,375.0
customer_key,376.0
customer_key,377.0
customer_key,378.0
customer_key,379.0
customer_key,380.0
customer_key,381.0
customer_key,382.0
customer_key,383.0
customer_key,384.0
customer_key,385.0
customer_key,386.0
customer_key,387.0
customer_key,388.0
customer_key,389.0
customer_key,390.0
customer_key,391.0
customer_key,392.0
customer_key,393.0
customer_key,394.0
customer_key,395.0
customer_key,396.0
customer_key,397.0
customer_key,398.0
customer_key,399.0
customer_key,400.0
customer_key,401.0
customer_key,402.0
customer_key,403.0
customer_key,404.0
customer_key,405.0
customer_key,406.0
customer_key,407.0
customer_key,408.0
customer_key,409.0
customer_key,410.0
customer_key,411.0
customer_key,412.0
customer_key,413.0
customer_key,414.0
customer_key,415.0
customer_key,416.0
customer_key,417.0
customer_key,418.0
customer_key,419.0
customer_key,420.0
customer_key,421.0
customer_key,422.0
customer_key,423.0
customer_key,424.0
customer_key,425.0
customer_key,426.0
customer_key,427.0
customer_key,428.0
customer_key,429.0
customer_key,430.0
customer_key,431.0
customer_key,432.0
customer_key,433.0
