column,value
mean radius,13.28
mean radius,20.57
mean radius,19.69
mean radius,11.42
mean radius,20.29
mean radius,12.45
mean radius,18.25
mean radius,13.71
mean radius,13.0
mean radius,16.02
mean radius,15.78
mean radius,19.17
mean radius,15.85
mean radius,13.73
mean radius,14.54
mean radius,14.68
mean radius,19.81
mean radius,13.54
mean radius,13.08
mean radius,9.504
mean radius,15.34
mean radius,21.16
mean radius,16.65
mean radius,17.14
mean radius,14.58
mean radius,18.61
mean radius,15.3
mean radius,18.63
mean radius,11.84
mean radius,17.02
mean radius,19.27
mean radius,16.74
mean radius,14.25
mean radius,13.03
mean radius,13.48
mean radius,19.07
mean radius,13.17
mean radius,18.65
mean radius,8.196
mean radius,12.05
mean radius,11.76
mean radius,13.64
mean radius,11.94
mean radius,18.22
mean radius,15.1
mean radius,11.52
mean radius,19.21
mean radius,14.71
mean radius,13.05
mean radius,8.618
mean radius,10.17
mean radius,8.598
mean radius,9.173
mean radius,12.68
mean radius,9.029
mean radius,18.94
mean radius,8.888
mean radius,17.2
mean radius,13.8
mean radius,12.31
mean radius,16.07
mean radius,13.53
mean radius,18.05
mean radius,20.18
mean radius,12.86
mean radius,11.45
mean radius,13.34
mean radius,25.22
mean radius,19.1
mean radius,12.0
mean radius,14.48
mean radius,19.02
mean radius,12.36
mean radius,14.64
mean radius,15.37
mean radius,13.45
mean radius,15.06
mean radius,20.26
mean radius,12.18
mean radius,9.787
mean radius,11.6
mean radius,14.42
mean radius,13.61
mean radius,6.981
mean radius,9.876
mean radius,10.49
mean radius,13.11
mean radius,11.64
mean radius,22.27
mean radius,11.34
mean radius,9.777
mean radius,14.26
mean radius,10.51
mean radius,8.726
mean radius,11.93
mean radius,8.95
mean radius,14.87
mean radius,18.66
mean radius,24.25
mean radius,14.5
mean radius,13.85
mean radius,19.0
mean radius,19.79
mean radius,12.19
mean radius,15.46
mean radius,15.71
mean radius,18.45
mean radius,12.77
mean radius,11.71
mean radius,11.43
mean radius,14.95
mean radius,11.28
mean radius,9.738
mean radius,16.11
mean radius,12.9
mean radius,10.75
mean radius,11.9
mean radius,11.8
mean radius,14.44
mean radius,13.74
mean radius,8.219
mean radius,9.731
mean radius,11.15
mean radius,13.15
mean radius,12.25
mean radius,17.68
mean radius,16.84
mean radius,12.06
mean radius,19.19
mean radius,12.34
mean radius,23.27
mean radius,14.97
mean radius,10.8
mean radius,16.78
mean radius,17.47
mean radius,12.32
mean radius,13.43
mean radius,10.66
mean radius,8.671
mean radius,9.904
mean radius,16.46
mean radius,13.01
mean radius,12.81
mean radius,21.09
mean radius,15.7
mean radius,11.41
mean radius,15.28
mean radius,10.08
mean radius,11.81
mean radius,12.3
mean radius,14.22
mean radius,14.86
mean radius,12.91
mean radius,13.77
mean radius,18.08
mean radius,19.18
mean radius,14.45
mean radius,12.23
mean radius,23.29
mean radius,13.81
mean radius,12.47
mean radius,15.12
mean radius,17.01
mean radius,15.27
mean radius,20.58
mean radius,28.11
mean radius,17.42
mean radius,13.86
mean radius,11.89
mean radius,10.2
mean radius,19.8
mean radius,19.53
mean radius,13.65
mean radius,13.56
mean radius,10.18
mean radius,15.75
mean radius,13.27
mean radius,14.34
mean radius,10.44
mean radius,15.0
mean radius,12.62
mean radius,12.83
mean radius,17.05
mean radius,11.32
mean radius,9.567
mean radius,14.03
mean radius,17.46
mean radius,11.3
mean radius,13.75
mean radius,19.4
mean radius,12.89
mean radius,10.65
mean radius,11.5
mean radius,19.73
mean radius,17.3
mean radius,19.45
mean radius,13.96
mean radius,19.55
mean radius,15.53
mean radius,17.35
mean radius,17.29
mean radius,15.61
mean radius,17.19
mean radius,20.73
mean radius,10.6
mean radius,13.59
mean radius,12.87
mean radius,10.71
mean radius,14.29
mean radius,11.29
mean radius,21.75
mean radius,17.93
mean radius,11.33
mean radius,18.81
mean radius,19.16
mean radius,11.74
mean radius,16.24
mean radius,12.58
mean radius,11.26
mean radius,11.37
mean radius,14.41
mean radius,14.96
mean radius,12.95
mean radius,12.72
mean radius,10.91
mean radius,12.46
mean radius,20.09
mean radius,11.46
mean radius,9.0
mean radius,11.7
mean radius,14.61
mean radius,12.76
mean radius,11.54
mean radius,8.597
mean radius,12.49
mean radius,9.042
mean radius,12.43
mean radius,10.25
mean radius,20.16
mean radius,20.34
mean radius,12.2
mean radius,12.67
mean radius,14.11
mean radius,12.03
mean radius,16.03
mean radius,12.98
mean radius,11.22
mean radius,11.25
mean radius,17.06
mean radius,12.99
mean radius,18.77
mean radius,10.05
mean radius,9.606
mean radius,11.06
mean radius,19.68
mean radius,14.76
mean radius,11.47
mean radius,11.95
mean radius,11.66
mean radius,25.73
mean radius,15.08
mean radius,11.14
mean radius,12.56
mean radius,13.87
mean radius,8.878
mean radius,9.436
mean radius,12.54
mean radius,13.3
mean radius,16.5
mean radius,20.44
mean radius,20.2
mean radius,12.21
mean radius,22.01
mean radius,16.35
mean radius,15.19
mean radius,21.37
mean radius,20.64
mean radius,13.69
mean radius,16.17
mean radius,10.57
mean radius,13.46
mean radius,11.27
mean radius,11.04
mean radius,12.39
mean radius,14.6
mean radius,13.88
mean radius,10.26
mean radius,8.734
mean radius,15.49
mean radius,21.61
mean radius,14.06
mean radius,13.51
mean radius,12.8
mean radius,12.94
mean radius,10.94
mean radius,16.14
mean radius,12.85
mean radius,17.99
mean radius,12.27
mean radius,15.13
mean radius,9.405
mean radius,15.5
mean radius,12.7
mean radius,11.16
mean radius,11.57
mean radius,11.61
mean radius,9.742
mean radius,10.48
mean radius,11.13
mean radius,14.9
mean radius,12.4
mean radius,18.82
mean radius,13.98
mean radius,14.02
mean radius,10.97
mean radius,17.27
mean radius,13.78
mean radius,11.99
mean radius,17.75
mean radius,14.8
mean radius,14.53
mean radius,21.1
mean radius,19.59
mean radius,13.38
mean radius,11.63
mean radius,9.755
mean radius,17.08
mean radius,27.42
mean radius,14.4
mean radius,13.14
mean radius,17.6
mean radius,11.62
mean radius,9.667
mean radius,12.04
mean radius,14.92
mean radius,14.2
mean radius,13.9
mean radius,11.49
mean radius,16.25
mean radius,12.16
mean radius,13.7
mean radius,15.73
mean radius,19.44
mean radius,11.68
mean radius,16.69
mean radius,17.85
mean radius,18.01
mean radius,13.16
mean radius,12.65
mean radius,20.59
mean radius,13.82
mean radius,23.09
mean radius,9.268
mean radius,9.676
mean radius,12.22
mean radius,16.3
mean radius,14.81
mean radius,13.4
mean radius,18.31
mean radius,19.89
mean radius,24.63
mean radius,9.847
mean radius,8.571
mean radius,13.94
mean radius,12.07
mean radius,11.75
mean radius,11.67
mean radius,13.68
mean radius,10.96
mean radius,20.55
mean radius,14.27
mean radius,11.69
mean radius,7.729
mean radius,7.691
mean radius,14.74
mean radius,13.21
mean radius,13.62
mean radius,10.32
mean radius,9.683
mean radius,10.82
mean radius,10.86
mean radius,9.333
mean radius,12.88
mean radius,10.29
mean radius,10.16
mean radius,9.423
mean radius,14.59
mean radius,14.05
mean radius,11.2
mean radius,15.22
mean radius,20.92
mean radius,21.56
mean radius,16.6
mean radius,20.6
mean radius,7.76
mean texture,10.38
mean texture,17.77
mean texture,21.25
mean texture,20.38
mean texture,14.34
mean texture,15.7
mean texture,18.86
mean texture,20.83
mean texture,21.82
mean texture,24.04
mean texture,23.24
mean texture,17.89
mean texture,24.8
mean texture,23.95
mean texture,22.61
mean texture,27.54
mean texture,20.13
mean texture,20.68
mean texture,22.15
mean texture,14.36
mean texture,15.71
mean texture,12.44
mean texture,14.26
mean texture,23.04
mean texture,16.4
mean texture,21.53
mean texture,20.25
mean texture,25.27
mean texture,15.05
mean texture,25.11
mean texture,18.7
mean texture,23.98
mean texture,26.47
mean texture,17.88
mean texture,21.59
mean texture,21.72
mean texture,18.42
mean texture,25.2
mean texture,20.82
mean texture,21.58
mean texture,24.81
